observed_at,gameId,game_datetime,league,home,away,field,value,hours_before_game,is_baseline
2026-07-27T03:56:39+00:00,20260728HTSS02026,2026-07-28T18:30:00,KBO,삼성,KIA,homeStarterName,최원태,29.56,1
2026-07-27T03:56:39+00:00,20260728HTSS02026,2026-07-28T18:30:00,KBO,삼성,KIA,awayStarterName,올러,29.56,1
2026-07-27T03:56:39+00:00,20260728KTNC02026,2026-07-28T18:30:00,KBO,NC,KT,homeStarterName,원종해,29.56,1
2026-07-27T03:56:39+00:00,20260728KTNC02026,2026-07-28T18:30:00,KBO,NC,KT,awayStarterName,고영표,29.56,1
2026-07-27T03:56:39+00:00,20260728LTHH02026,2026-07-28T18:30:00,KBO,한화,롯데,homeStarterName,화이트,29.56,1
2026-07-27T03:56:39+00:00,20260728LTHH02026,2026-07-28T18:30:00,KBO,한화,롯데,awayStarterName,박세웅,29.56,1
2026-07-27T03:56:39+00:00,20260728OBSK02026,2026-07-28T18:30:00,KBO,SSG,두산,homeStarterName,아빌라,29.56,1
2026-07-27T03:56:39+00:00,20260728OBSK02026,2026-07-28T18:30:00,KBO,SSG,두산,awayStarterName,벤자민,29.56,1
2026-07-27T03:56:39+00:00,20260728WOLG02026,2026-07-28T18:30:00,KBO,LG,키움,homeStarterName,톨허스트,29.56,1
2026-07-27T03:56:39+00:00,20260728WOLG02026,2026-07-28T18:30:00,KBO,LG,키움,awayStarterName,전준표,29.56,1
