observed_at,league,home_en,away_en,kickoff,odds,overround,payout
2026-07-27T10:01:13+00:00,MLB,Texas Rangers,Seattle Mariners,,"2.16,1.72",1.04436,95.75
2026-07-27T10:01:13+00:00,MLB,Detroit Tigers,Baltimore Orioles,,"1.86,1.97",1.04525,95.67
2026-07-27T10:01:13+00:00,MLB,Miami Marlins,Philadelphia Phillies,,"2.48,1.56",1.04425,95.76
2026-07-27T10:01:13+00:00,MLB,Pittsburgh Pirates,Arizona Diamondbacks,,"1.82,2.02",1.04450,95.74
2026-07-27T10:01:13+00:00,MLB,Washington Nationals,Toronto Blue Jays,,"1.78,2.07",1.04489,95.70
2026-07-27T10:01:13+00:00,MLB,Cincinnati Reds,Cleveland Guardians,,"1.58,2.44",1.04275,95.90
2026-07-27T10:01:13+00:00,MLB,New York Mets,Atlanta Braves,,"1.95,1.86",1.05045,95.20
2026-07-27T10:01:13+00:00,MLB,Chicago White Sox,New York Yankees,,"2.24,1.67",1.04523,95.67
2026-07-27T10:01:13+00:00,MLB,St.Louis Cardinals,Chicago Cubs,,"1.98,1.84",1.04853,95.37
2026-07-27T10:01:13+00:00,MLB,Los Angeles Angels,Houston Astros,,"1.98,1.84",1.04853,95.37
2026-07-27T10:01:13+00:00,MLB,Athletics,Boston Red Sox,,"2.45,1.57",1.04511,95.68
2026-07-27T10:01:13+00:00,MLB,San Francisco Giants,Milwaukee Brewers,,"2.18,1.71",1.04351,95.83
2026-07-27T10:01:13+00:00,K리그1,Gangwon,Bucheon FC 1995,,"1.57,3.69,6.05",1.07323,93.18
2026-07-27T10:01:13+00:00,K리그1,Jeonbuk,Seoul,,"2.72,2.92,2.75",1.07375,93.13
2026-07-27T10:01:13+00:00,K리그1,Pohang,Gimcheon Sangmu,,"2.05,3.27,3.54",1.07610,92.93
2026-07-27T10:01:13+00:00,K리그1,Daejeon,Gwangju FC,,"1.49,4.07,6.36",1.07407,93.10
2026-07-27T10:01:13+00:00,K리그1,Jeju SK,Incheon,,"3.10,2.93,2.43",1.07540,92.99
2026-07-27T10:01:13+00:00,K리그1,Ulsan HD,Anyang,,"1.89,3.55,3.77",1.07604,92.93
