ts,year,round,game_no,sport,league,market_family,n_way,market_label,home,away,date_text,odds,result
2026-08-14T00:13:38+00:00,2026,95,1624,bs,MLB,승패,2,,뉴욕양키 4,1 시애매리,08.12(수) 08:05,"1.62,1.93",홈승
2026-08-14T00:13:38+00:00,2026,95,1625,bs,MLB,승①패,3,승①패,뉴욕양키 4,1 시애매리,08.12(수) 08:05,"2.26,3.25,2.50",홈승
2026-08-14T00:13:38+00:00,2026,95,1626,bs,MLB,핸디캡,2,H -2.5,뉴욕양키 1.5,1 시애매리,08.12(수) 08:05,"3.16,1.22",핸디승
2026-08-14T00:13:38+00:00,2026,95,1627,bs,MLB,언더오버,2,U 7.5,뉴욕양키,시애매리,08.12(수) 08:05,"1.87,1.66",언더
2026-08-14T00:13:38+00:00,2026,95,1628,bs,MLB,홀짝,2,,뉴욕양키,시애매리,08.12(수) 08:05,"1.55,2.04",홀
2026-08-14T00:13:38+00:00,2026,95,1629,bs,MLB,승패,2,,토론블루 5,3 보스레드,08.12(수) 08:07,"1.52,2.09",홈승
2026-08-14T00:13:38+00:00,2026,95,1630,bs,MLB,승①패,3,승①패,토론블루 5,3 보스레드,08.12(수) 08:07,"2.14,3.20,2.70",홈승
2026-08-14T00:13:38+00:00,2026,95,1631,bs,MLB,핸디캡,2,H -2.5,토론블루 2.5,3 보스레드,08.12(수) 08:07,"2.92,1.26",핸디패
2026-08-14T00:13:38+00:00,2026,95,1632,bs,MLB,언더오버,2,U 7.5,토론블루,보스레드,08.12(수) 08:07,"1.62,1.93",오버
2026-08-14T00:13:38+00:00,2026,95,1633,bs,MLB,홀짝,2,,토론블루,보스레드,08.12(수) 08:07,"1.55,2.04",짝
2026-08-14T00:13:38+00:00,2026,95,1634,bs,MLB,승패,2,,애틀브레 4,0 뉴욕메츠,08.12(수) 08:15,"1.61,1.94",홈승
2026-08-14T00:13:38+00:00,2026,95,1635,bs,MLB,승①패,3,승①패,애틀브레 4,0 뉴욕메츠,08.12(수) 08:15,"2.24,3.30,2.50",홈승
2026-08-14T00:13:38+00:00,2026,95,1636,bs,MLB,핸디캡,2,H -2.5,애틀브레 1.5,0 뉴욕메츠,08.12(수) 08:15,"3.09,1.23",핸디승
2026-08-14T00:13:38+00:00,2026,95,1637,bs,MLB,언더오버,2,U 8.5,애틀브레,뉴욕메츠,08.12(수) 08:15,"1.74,1.78",언더
2026-08-14T00:13:38+00:00,2026,95,1638,bs,MLB,홀짝,2,,애틀브레,뉴욕메츠,08.12(수) 08:15,"1.55,2.04",짝
2026-08-14T00:13:38+00:00,2026,95,1639,bs,MLB,승패,2,,미네트윈 2,5 볼티오리,08.12(수) 08:40,"1.70,1.82",홈패
2026-08-14T00:13:38+00:00,2026,95,1640,bs,MLB,승①패,3,승①패,미네트윈 2,5 볼티오리,08.12(수) 08:40,"2.40,3.35,2.30",홈패
2026-08-14T00:13:38+00:00,2026,95,1641,bs,MLB,핸디캡,2,H -2.5,미네트윈 -0.5,5 볼티오리,08.12(수) 08:40,"3.30,1.20",핸디패
2026-08-14T00:13:38+00:00,2026,95,1642,bs,MLB,언더오버,2,U 9.5,미네트윈,볼티오리,08.12(수) 08:40,"1.65,1.89",언더
2026-08-14T00:13:38+00:00,2026,95,1643,bs,MLB,홀짝,2,,미네트윈,볼티오리,08.12(수) 08:40,"1.55,2.04",홀
2026-08-14T00:13:38+00:00,2026,95,1644,bs,MLB,승패,2,,시카화이 4,5 신시레즈,08.12(수) 08:40,"1.48,2.17",홈패
2026-08-14T00:13:38+00:00,2026,95,1645,bs,MLB,승①패,3,승①패,시카화이 4,5 신시레즈,08.12(수) 08:40,"2.04,3.30,2.80",①
2026-08-14T00:13:38+00:00,2026,95,1646,bs,MLB,핸디캡,2,H -2.5,시카화이 1.5,5 신시레즈,08.12(수) 08:40,"2.72,1.30",핸디패
2026-08-14T00:13:38+00:00,2026,95,1647,bs,MLB,언더오버,2,U 7.5,시카화이,신시레즈,08.12(수) 08:40,"1.87,1.66",오버
2026-08-14T00:13:38+00:00,2026,95,1648,bs,MLB,홀짝,2,,시카화이,신시레즈,08.12(수) 08:40,"1.55,2.04",홀
2026-08-14T00:13:38+00:00,2026,95,1649,bs,MLB,승패,2,,세인카디 2,0 필라필리,08.12(수) 08:45,"2.26,1.44",홈승
2026-08-14T00:13:38+00:00,2026,95,1650,bs,MLB,승①패,3,승①패,세인카디 2,0 필라필리,08.12(수) 08:45,"3.55,3.35,1.76",홈승
2026-08-14T00:13:38+00:00,2026,95,1651,bs,MLB,핸디캡,2,H +2.5,세인카디 4.5,0 필라필리,08.12(수) 08:45,"1.44,2.26",핸디승
2026-08-14T00:13:38+00:00,2026,95,1652,bs,MLB,언더오버,2,U 8.5,세인카디,필라필리,08.12(수) 08:45,"1.65,1.89",언더
2026-08-14T00:13:38+00:00,2026,95,1653,bs,MLB,홀짝,2,,세인카디,필라필리,08.12(수) 08:45,"1.56,2.02",짝
2026-08-14T00:13:38+00:00,2026,95,1654,sc,코파리베,승무패,3,,톨리마,델바예,08.12(수) 09:30,"1.00,1.00,1.00",취소
2026-08-14T00:13:38+00:00,2026,95,1655,sc,코파리베,핸디캡,3,H +1.0,톨리마,델바예,08.12(수) 09:30,"1.00,1.00,1.00",취소
2026-08-14T00:13:38+00:00,2026,95,1656,sc,코파리베,언더오버,2,U 2.5,톨리마,델바예,08.12(수) 09:30,"1.00,1.00",취소
2026-08-14T00:13:38+00:00,2026,95,1657,sc,코파리베,홀짝,2,,톨리마,델바예,08.12(수) 09:30,"1.00,1.00",취소
2026-08-14T00:13:38+00:00,2026,95,1658,sc,코파리베,승무패,3,,에스라플 1,1 카톨리카,08.12(수) 09:30,"1.58,3.25,4.80",무승부
2026-08-14T00:13:38+00:00,2026,95,1659,sc,코파리베,핸디캡,3,H -1.0,에스라플 0,1 카톨리카,08.12(수) 09:30,"3.10,2.95,2.05",핸디패
2026-08-14T00:13:38+00:00,2026,95,1660,sc,코파리베,언더오버,2,U 2.5,에스라플,카톨리카,08.12(수) 09:30,"1.53,2.07",언더
2026-08-14T00:13:38+00:00,2026,95,1661,sc,코파리베,홀짝,2,,에스라플,카톨리카,08.12(수) 09:30,"1.77,1.75",짝
2026-08-14T00:13:38+00:00,2026,95,1662,bs,MLB,승패,2,,LA에인절 3,2 텍사레인,08.12(수) 10:38,"2.05,1.54",홈승
2026-08-14T00:13:38+00:00,2026,95,1663,bs,MLB,승①패,3,승①패,LA에인절 3,2 텍사레인,08.12(수) 10:38,"3.10,3.40,1.88",①
