league,team,venue_id,venue_name,latitude,longitude,roof,coordinate_quality,notes
K리그1,FC서울,seoul_world_cup,서울월드컵경기장,37.5683,126.8972,open,approx_stadium,기본 홈구장
K리그1,FC안양,anyang_stadium,안양종합운동장,37.4050,126.9478,open,approx_stadium,기본 홈구장
K리그1,강원FC,chuncheon_songam,춘천송암스포츠타운,37.8555,127.6914,open,approx_stadium,강릉 홈경기는 경기별 구장 확인 필요
K리그1,광주FC,gwangju_football,광주축구전용구장,35.1333,126.8747,open,approx_stadium,기본 홈구장
K리그1,김천상무,gimcheon_stadium,김천종합운동장,36.1398,128.0867,open,approx_stadium,기본 홈구장
K리그1,대전하나,daejeon_world_cup,대전월드컵경기장,36.3652,127.3250,open,approx_stadium,기본 홈구장
K리그1,부천FC,bucheon_stadium,부천종합운동장,37.5034,126.7972,open,approx_stadium,기본 홈구장
K리그1,울산HDFC,ulsan_munsu,울산문수축구경기장,35.5354,129.2594,open,approx_stadium,기본 홈구장
K리그1,인천유나,incheon_football,인천축구전용경기장,37.4661,126.6432,open,approx_stadium,기본 홈구장
K리그1,전북현대,jeonju_world_cup,전주월드컵경기장,35.8680,127.0646,open,approx_stadium,기본 홈구장
K리그1,제주SKFC,jeju_world_cup,제주월드컵경기장,33.2462,126.5092,open,approx_stadium,기본 홈구장
K리그1,포항스틸,pohang_steelyard,포항스틸야드,36.0191,129.3435,open,approx_stadium,기본 홈구장
KBO,두산,jamsil_baseball,잠실야구장,37.5122,127.0719,open,approx_stadium,LG와 공용
KBO,LG,jamsil_baseball,잠실야구장,37.5122,127.0719,open,approx_stadium,두산과 공용
KBO,키움,gocheok_sky_dome,고척스카이돔,37.4982,126.8670,dome,approx_stadium,실외 날씨 직접 영향 제한
KBO,SSG,incheon_landers,인천SSG랜더스필드,37.4370,126.6933,open,approx_stadium,기본 홈구장
KBO,KT,suwon_baseball,수원KT위즈파크,37.2998,127.0097,open,approx_stadium,기본 홈구장
KBO,한화,daejeon_ballpark,대전한화생명볼파크,36.3171,127.4281,open,approx_stadium,기본 홈구장
KBO,삼성,daegu_lions,대구삼성라이온즈파크,35.8411,128.6814,open,approx_stadium,기본 홈구장
KBO,롯데,sajik_baseball,사직야구장,35.1940,129.0616,open,approx_stadium,기본 홈구장
KBO,NC,changwon_nc,창원NC파크,35.2225,128.5823,open,approx_stadium,기본 홈구장
KBO,KIA,gwangju_champions,광주기아챔피언스필드,35.1681,126.8892,open,approx_stadium,기본 홈구장
NPB,닛폰햄,es_con_field,에스콘필드 홋카이도,43.0156,141.5496,retractable,approx_stadium,기본 홈구장
NPB,라쿠텐,rakuten_mobile_park,라쿠텐모바일파크 미야기,38.2561,140.9026,open,approx_stadium,기본 홈구장
NPB,세이부,belluna_dome,벨루나돔,35.7685,139.4205,covered_open_sides,approx_stadium,측면이 열린 지붕 구장이라 외부 날씨 영향이 남음
NPB,소프트뱅,mizuho_paypay_dome,미즈호PayPay돔,33.5953,130.3621,dome,approx_stadium,기본 홈구장
NPB,야쿠르트,meiji_jingu,메이지진구구장,35.6745,139.7170,open,approx_stadium,기본 홈구장
NPB,오릭스,kyocera_dome,교세라돔 오사카,34.6693,135.4760,dome,approx_stadium,고베 일부 경기는 경기별 구장 확인 필요
NPB,요미우리,tokyo_dome,도쿄돔,35.7056,139.7519,dome,approx_stadium,기본 홈구장
NPB,요코베이,yokohama_stadium,요코하마스타디움,35.4433,139.6401,open,approx_stadium,기본 홈구장
NPB,주니치,vantelin_dome,반테린돔 나고야,35.1859,136.9474,dome,approx_stadium,기본 홈구장
NPB,지바롯데,zozo_marine,ZOZO마린스타디움,35.6452,140.0308,open,approx_stadium,해풍 영향 가능
NPB,한신,koshien,한신고시엔구장,34.7214,135.3616,open,approx_stadium,기본 홈구장
NPB,히로카프,mazda_zoomzoom,MAZDA Zoom-Zoom 스타디움,34.3917,132.4840,open,approx_stadium,기본 홈구장
MLB,LA다저스,dodger_stadium,Dodger Stadium,34.0739,-118.2400,open,approx_stadium,기본 홈구장
MLB,LA에인절,angel_stadium,Angel Stadium,33.8003,-117.8827,open,approx_stadium,기본 홈구장
MLB,뉴욕메츠,citi_field,Citi Field,40.7571,-73.8458,open,approx_stadium,기본 홈구장
MLB,뉴욕양키,yankee_stadium,Yankee Stadium,40.8296,-73.9262,open,approx_stadium,기본 홈구장
MLB,디트타이,comerica_park,Comerica Park,42.3390,-83.0485,open,approx_stadium,기본 홈구장
MLB,마이말린,loandepot_park,loanDepot park,25.7781,-80.2197,retractable,approx_stadium,개폐 여부는 경기별 확인 필요
MLB,미네트윈,target_field,Target Field,44.9817,-93.2776,open,approx_stadium,기본 홈구장
MLB,밀워브루,american_family_field,American Family Field,43.0280,-87.9712,retractable,approx_stadium,개폐 여부는 경기별 확인 필요
MLB,보스레드,fenway_park,Fenway Park,42.3467,-71.0972,open,approx_stadium,기본 홈구장
MLB,볼티오리,camden_yards,Oriole Park at Camden Yards,39.2839,-76.6217,open,approx_stadium,기본 홈구장
MLB,샌디파드,petco_park,Petco Park,32.7076,-117.1570,open,approx_stadium,기본 홈구장
MLB,샌프자이,oracle_park,Oracle Park,37.7786,-122.3893,open,approx_stadium,해풍 영향 가능
MLB,세인카디,busch_stadium,Busch Stadium,38.6226,-90.1928,open,approx_stadium,기본 홈구장
MLB,시애매리,t_mobile_park,T-Mobile Park,47.5914,-122.3325,retractable,approx_stadium,개폐 여부는 경기별 확인 필요
MLB,시카컵스,wrigley_field,Wrigley Field,41.9484,-87.6553,open,approx_stadium,기본 홈구장
MLB,시카화이,rate_field,Rate Field,41.8300,-87.6338,open,approx_stadium,기본 홈구장
MLB,신시레즈,great_american_ball_park,Great American Ball Park,39.0979,-84.5082,open,approx_stadium,기본 홈구장
MLB,애리다이,chase_field,Chase Field,33.4455,-112.0667,retractable,approx_stadium,개폐 여부는 경기별 확인 필요
MLB,애슬레틱,sutter_health_park,Sutter Health Park,38.5803,-121.5139,open,approx_stadium,2025~2026 기본 홈구장; 기간별 예외는 venue_overrides.csv
MLB,애틀브레,truist_park,Truist Park,33.8907,-84.4677,open,approx_stadium,기본 홈구장
MLB,워싱내셔,nationals_park,Nationals Park,38.8730,-77.0074,open,approx_stadium,기본 홈구장
MLB,캔자로얄,kauffman_stadium,Kauffman Stadium,39.0517,-94.4803,open,approx_stadium,기본 홈구장
MLB,콜로로키,coors_field,Coors Field,39.7559,-104.9942,open,approx_stadium,고도 효과가 커 날씨와 별도 파크팩터 필요
MLB,클리가디,progressive_field,Progressive Field,41.4962,-81.6852,open,approx_stadium,기본 홈구장
